grant_title,id,organization,total_amount,group,start_year,pays,pays1,real,presse,pressesimp,spect,spectsimp
Un monstre à Paris,28,Animation,1724560,5,4A,France,France,Eric Bergeron,"3,4",3,"3,7",3
Restless,246,Drame,80172,5,2A,Amerique du Nord,Etats-Unis,Gus Van Sant,"3,4",3,"3,7",3
We Need to Talk About Kevin,223,Drame,105277,3,2A,Amerique du Nord,Etats-Unis,Lynne Ramsay,"3,7",3,"3,7",3
Mission: Impossible - Protocole fantôme,18,Aventure - Action,2415036,5,3A,Amerique du Nord,Etats-Unis,Brad Bird,"3,8",3,"3,7",3
True Grit,37,Western,1402149,5,3A,Amerique du Nord,Etats-Unis,"Ethan Coen, Joel Coen",4,4,"3,7",3
Pina,136,Documentaire,316716,5,6A,Europe,Allemagne,Wim Wenders,4,4,"3,7",3
La Guerre est déclarée,65,Drame,837880,5,2A,France,France,Valérie Donzelli,"4,4",4,"3,7",3
Forces spéciales,176,Aventure - Action,204606,5,3A,France,France,Stephane Rybojad,"1,2",1,"3,8",3
L'Incroyable histoire de Winter le dauphin,195,Comédie familiale,167251,5,1A,Amerique du Nord,Etats-Unis,Charles Martin Smith,"2,2",2,"3,8",3
Real Steel,46,Science Fiction,1101070,5,5A,Amerique du Nord,Etats-Unis,Shawn Levy,"2,8",2,"3,8",3
